name,label
pink lady apple,Food & Drink
clementine or sweet easy peeler,Food & Drink
strawberry,Food & Drink
blueberry,Food & Drink
jaffa clementine or sweet easy peeler,Food & Drink
gala apple,Food & Drink
red seedless grape punnet,Food & Drink
organic fair trade banana,Food & Drink
conference pear,Food & Drink
braeburn apple,Food & Drink
green seedless grape punnet,Food & Drink
granny smith apple,Food & Drink
blueberry,Food & Drink
clementine or sweet easy peeler,Food & Drink
lemon,Food & Drink
raspberry,Food & Drink
orange each,Food & Drink
suntrail farm grape,Food & Drink
red grapefruit each,Food & Drink
lemon each,Food & Drink
rosedene farm gala apple,Food & Drink
jaffa alizza fruit each,Food & Drink
lime each,Food & Drink
suntrail lemon,Food & Drink
banana loose,Food & Drink
rosedene farm small apple,Food & Drink
rosedene farm blueberry,Food & Drink
perfectly ripe mango,Food & Drink
honeydew melon each,Food & Drink
suntrail farm kiwi,Food & Drink
large pink lady apple class loose,Food & Drink
emperor orange,Food & Drink
raspberry,Food & Drink
jaffa orange,Food & Drink
jaffa red orange,Food & Drink
jazz apple,Food & Drink
large pear conference class loose,Food & Drink
seedless grape selection,Food & Drink
red grape seedless,Food & Drink
finest strawberry,Food & Drink
green grape seedless,Food & Drink
orange,Food & Drink
organic unwaxed lemon,Food & Drink
black seedless grape,Food & Drink
perfectly ripe conference pear,Food & Drink
ready to eat seasonal pear,Food & Drink
pomegranate seed,Food & Drink
golden delicious apple,Food & Drink
bramley cooking apple loose,Food & Drink
black grape seedless,Food & Drink
blueberry,Food & Drink
passion fruit,Food & Drink
cherry punnet,Food & Drink
large kiwi fruit class each,Food & Drink
british apple,Food & Drink
galia melon each class,Food & Drink
shredded iceberg,Food & Drink
iceberg lettuce,Food & Drink
 cantaloupe melon each class,Food & Drink
apple snack,Food & Drink
rosedene farm braeburn apple,Food & Drink
lime,Food & Drink
suntrail farm soft citrus,Food & Drink
rosedene farm blackberry,Food & Drink
rosedene farm small pear,Food & Drink
suntrail farm orange,Food & Drink
pineapple each,Food & Drink
perfectly ripe kiwi,Food & Drink
suntrail farm ripen at home plum,Food & Drink
eat me date deglet nourishing pitted,Food & Drink
almond,Food & Drink
mixed nut,Food & Drink
cashew nut,Food & Drink
walnut,Food & Drink
wholefood pine nut,Food & Drink
mini watermelon each,Food & Drink
walnut piece,Food & Drink
wholefood dried mango,Food & Drink
large braeburn apple loose class,Food & Drink
cashew,Food & Drink
jaffa seedless lemon,Food & Drink
organic gala apple,Food & Drink
large granny smith apple class loose,Food & Drink
watermelon each,Food & Drink
mango,Food & Drink
jaffa candy floss grape,Food & Drink
raspberry blueberry,Food & Drink
soft apricot,Food & Drink
large selection grape,Food & Drink
pumin seed,Food & Drink
apricot,Food & Drink
cashew nut,Food & Drink
grape strawberry,Food & Drink
chia seed,Food & Drink
ripe and ready mango,Food & Drink
blackberry,Food & Drink
organic seasonal apple,Food & Drink
suntrail farm ripen at home nectarine  mum4,Food & Drink
suntrail farm ripen at home peach,Food & Drink
perfectly ripe gold kiwi,Food & Drink
deglet nourishing date,Food & Drink
fruit and nut,Food & Drink
flaked almond,Food & Drink
watermelon wedge,Food & Drink
mango,Food & Drink
melon medley,Food & Drink
cranberry,Food & Drink
pineapple chunk,Food & Drink
large fruit platter,Food & Drink
roasted nut selection,Food & Drink
watermelon chunk,Food & Drink
pistachio nut,Food & Drink
organic medjool date,Food & Drink
melon grape,Food & Drink
jordan river date,Food & Drink
tropical tray,Food & Drink
milled flax seed mix,Food & Drink
watermelon heart,Food & Drink
melon pineapple finger,Food & Drink
sunflower seed,Food & Drink
blueberry class,Food & Drink
pomegranate,Food & Drink
wholefood roasted monkey nut,Food & Drink
organic blueberry,Food & Drink
rosedene farm strawberry,Food & Drink
melon slice,Food & Drink
soft fig,Food & Drink
apple mango strawberry and raspberry,Food & Drink
wholefoods prune,Food & Drink
milled flax pumin chia seed mix,Food & Drink
mixed nut pecan,Food & Drink
large pineapple each,Food & Drink
mango chunk,Food & Drink
fruit nut snack pot,Food & Drink
