name,price,label
catsan cat litter 20 litres,13.7,pets
catsan cat litter 10 litres,7,pets
tesco adult dog select in jelly 12 x 400g,7,pets
tesco adult dog mixed selection in gravy 12x400g,7,pets
tadult dog food mixed select in jelly 6x400g,4.4,pets
tesco chunks in jelly chicken tinned dog food 400g,0.75,pets
tesco adult cat poultry selection in jelly 6x400g,4.5,pets
felix as good as it looks food doubly delicious meat 12x100g,4.5,pets
tesco dog poop bags 75s,1.65,pets
tesco adult cat food mixed selection in jelly 12x100g,3.1,pets
tesco adult cat 12x100g fish select in jelly,3.1,pets
tesco tender pate with chicken 300g,0.75,pets
tesco lightweight cat litter 10 litres,1.95,pets
tesco luxury salami dog treats 5 x 11g,1.1,pets
gourmet mon petit chicken 6x50g,1.75,pets
tesco 4 sausages treats with beef  game 70g,1.2,pets
gourmet mon petit fish selection 6x50g,1.75,pets
tesco milk for milk for cats 200ml,0.75,pets
tesco 7 dental sticks smaller dogs 110g,0.9,pets
dreamies cat treats with chicken 60g,1.3,pets
tesco 7 dental sticks medium dog 180g,0.95,pets
dreamies cat treats with cheese 60g,1.3,pets
tesco 8 twirl stick dog treats with chicken 140g,1.15,pets
webbox lickelix chicken 5x15g,1.15,pets
wagtastic treat chicken bites 50g,1,pets
dreamies cat treats with turkey 60g,1.3,pets
dreamies cat treats with tuna 60g,1.3,pets
good boy antibacterial degradable poo bags x 100,1,pets
webbox lickelix salmon 5x15g,1.15,pets
tesco 7 dental sticks for large dogs 270g,1.1,pets
wagg training treats chicken beef  lamb 125g,1.2,pets
wagg low fat dog treats 125g,1.2,pets
webbox cat sticks chicken  liver 6s,1.2,pets
webbox cats delight 6 sticks salmon  trout 30g,1.2,pets
bakers allsorts pack 98g,1,pets
adventuros sticks 120g,1.1,pets
adventuros nuggets 90g,1.1,pets
adventuros strips 90g,1.1,pets
tesco meaty strips for dogs chicken 200g,0.85,pets
bakers whirlers dog treats bacon and cheese 130g,1,pets
bakers sizzlers dog treats bacon 90g,1,pets
tesco tasty treats gravy bites with beef 500g,1.25,pets
tesco meaty rolls treats 500g,1.25,pets
whiskas pouch jelly poultry 40x100g pack,13.7,pets
tesco adult cat fish selection in jelly 6x400g,4.5,pets
good boy wagtastic jumbo twist chicken 70g,2.25,pets
good boy chewy chick twists 70g,2.25,pets
whiskas cat food 1 poultry selection in jelly 12x100g,4.5,pets
tesco premium complete dog food chicken  country vegetable 3kg,3.8,pets
felix as good as it looks mixed variety beef 12x100g,4.5,pets
felix as good as it looks cat food doubly delicious fish 12x100g,4.5,pets
felix as good as it looks senior cat food meat 12 x 100g,4.5,pets
winalot meaty chunks in jelly dog food 12x100g,3.65,pets
felix cat food mixed selection in gravy 12x100g,3.85,pets
naturo grain free chicken tinned dog food 390g,1.2,pets
tesco adult cat 12x100g mixed select in gravy,3.1,pets
dentalife daily oral care medium 115g,1.5,pets
sheba fresh  fine chicken  turkey in gravy 6x50g,2.2,pets
winalot shapes 800g,2,pets
dentalife daily oral care small 115g,1.5,pets
gocat adult dry cat food chicken and duck 750g,2.5,pets
lilys kitchen cottage pie 150g,1.3,pets
tesco milk for kittens 200ml,0.75,pets
gourmet mon petit beef 6x50g,1.75,pets
tesco wild bird suet balls 10 pack,1.45,pets
felix cat food soup fish selection 288g 6 pack,1.85,pets
gourmet mon petit ocean variety 6x50g,1.75,pets
bonio the original biscuit dog food 650g,1.8,pets
tesco meaty treats with chicken beef  liver 135g,1.15,pets
tesco biscuit bone small bite selection 800g,1.9,pets
